street_address,lat,long
"Jl. Dr. Ir. H. Soekarno, Penjaringan Sari, Rungkut, Kota SBY, Jawa Timur 60293, Indonesia",-7.323572599999999,112.7807203
"Jl. Jemur Sari Utara I. No.96, Siwalankerto, Surabaya, Kota SBY, Jawa Timur 60237, Indonesia",-7.33243,112.73423
"Jl. Soekarno Hatta No.22, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",-7.945832,112.618705
"Jl. Trunojoyo, Klojen, Kota Malang, Jawa Timur 65111, Indonesia",-7.9746589,112.6367698
"Jl. Arjuno, Kauman, Klojen, Kota Malang, Jawa Timur 65119, Indonesia",-7.9797347,112.6264043
"Jl. Laksda Adi Sucipto No.181, Blimbing, Kota Malang, Jawa Timur 65126, Indonesia",-7.944143299999999,112.6494042
"Jalan Mayjend M.T. Haryono, Ketawanggede, Kec. Lowokwaru, Malang, Jawa Timur 65145, Indonesia",-7.9465276,112.6124355
"Jl. Kalpataru No.02, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",-7.948078000000001,112.62591
"Jl. Terusan Dieng, Pisang Candi, Sukun, Kota Malang, Jawa Timur 65146, Indonesia",-7.9731722,112.6100118
"Jl. A. R. Hakim, Kauman, Klojen, Kota Malang, Jawa Timur 65119, Indonesia",-7.981849199999999,112.6273942
"Jl. Soekarno Hatta, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",-7.948662900000002,112.6166231
"Jl. Bendungan Sutami, Sumbersari, Malang, Kota Malang, Jawa Timur 65145, Indonesia",-7.9594732,112.613502
"Jl. Mayjend Sungkono, Bumiayu, Kedungkandang, Kota Malang, Jawa Timur 65135, Indonesia",-8.0268316,112.6426137
"Jl. Terusan Dieng, Pisang Candi, Sukun, Kota Malang, Jawa Timur 65146, Indonesia",-7.971817,112.606456
"Jl. Raya Sulfat Ruko A6/76, Bunul Rejo, Blimbing, Purwantoro, Blimbing, Kota Malang, Jawa Timur 65123, Indonesia",-7.958612000000001,112.64175
"Jl. W.R. Supratman, Rampal Celaket, Malang, Kota Malang, Jawa Timur 65111, Indonesia",-7.966206399999999,112.6375132
"Jl. Patimura No Ia Rt/Rw 03/02, Klojen, Klojen, Klojen, Malang City, East Java 65111, Indonesia",-7.9716907,112.6333698
"Jl. Ade Irma Suryani, Oro-oro Dowo, Malang, Kota Malang, Jawa Timur 65119, Indonesia",-7.975715,112.627314
"Jl. Soekarno Hatta Blok.D402/403 Kav 1-2, Mojolangu, Lowokwaru, Mojolangu, Lowokwaru, Malang City, East Java 65142, Indonesia",-7.941624999999999,112.622568
"Jl. Raya Kb. Agung, Kebonagung, Pakisaji, Malang, Jawa Timur 65162, Indonesia",-8.032241999999998,112.614138
"Jl.S.Supriadi, Kebonsari, Sukun, Kota Malang, Jawa Timur 65119, Indonesia",-8.021067,112.6189102
"Jl. Kaliurang No.21, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65111, Indonesia",-7.963892599999999,112.6335225
"Jl. Singosari No.8, Wonodri, Semarang Sel., Kota Semarang, Jawa Tengah 50172, Indonesia",-7.0004447,110.4271757
"Jl. Pandanaran, Randusari, Semarang Sel., Kota Semarang, Jawa Tengah 50244, Indonesia",-6.985486,110.4112753
"Jl. Pleburan Barat No. 02 Rt. 07/Rw. 03, Bedan Duwur, Semarang Selatan, Pleburan, South Semarang, Semarang City, Central Java 50235, Indonesia",-6.9962747,110.4252511
"Jl. RA. Kartini, Karangtempel, Semarang, Kota Semarang, Jawa Tengah 50257, Indonesia",-6.985551299999999,110.4358422
"Jl. Raya Sompok No.4A, Bedan Duwur, Semarang Selatan, Peterongan, Semarang Sel., Kota Semarang, Jawa Tengah 50235, Indonesia",-7.0009232,110.4340585
"Jalan Majapahit, Karangtempel, Semarang Timur, Pandean Lamper, Semarang, Kota Semarang, Jawa Tengah 50242, Indonesia",-6.997645899999999,110.4405678
"Jl. Gajah Mada 106 Rt01/Rw 04, Bangun Harjo, Semarang Tengah, Jl. Gajahmada, Bangunharjo, Central Semarang, Semarang City, Central Java 50138, Indonesia",-6.979555400000001,110.421223
"Jl. Semarang Indah D 6 No.2, Kalicari, Pedurungan, Kota Semarang, Jawa Tengah 50198, Indonesia",-6.999293499999999,110.4561567
"Jl. Anjasmoro Raya, Tawangsari, Semarang, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.969218899999999,110.3903772
"Jl. Gajah Raya, Pandean Lamper, Gayamsari, Kota Semarang, Jawa Tengah 50166, Indonesia",-6.9904211,110.4477752
"Jl. Petek No.94, Dadapsari, Semarang Utara, Kota Semarang, Jawa Tengah 50173, Indonesia",-6.9662918,110.4195801
"Jl. Wonodri Krajan No.3, Wonodri, Semarang Sel., Kota Semarang, Jawa Tengah 50242, Indonesia",-7.000625799999999,110.4308096
"Jalan Jenderal Ahmad Yani, Karangkidul, Semarang Tengah, Karangkidul, Semarang, Kota Semarang, Jawa Tengah 50242, Indonesia",-6.994008899999999,110.4310345
"Jl. Sriwijaya No.79, Wonodri, Semarang Sel., Kota Semarang, Jawa Tengah 50242, Indonesia",-7.005023599999999,110.4296159
"Jl. Tegalsari Raya, Candi, Candisari, Kota Semarang, Jawa Tengah 50614, Indonesia",-7.006529499999999,110.4276626
"Jalan Dokter Wahidin, Kaliwiru, Candisari, Kota Semarang, Jawa Tengah 50253, Indonesia",-7.021508499999999,110.4227391
"Jl. Raya Ngaliyan No.55, Ngaliyan, Kota Semarang, Jawa Tengah 50181, Indonesia",-7.004085,110.348755
"Jalan Tentara Pelajar, Lemper Kidul, Semarang Selatan, Jomblang, Semarang, Kota Semarang, Jawa Tengah 50256, Indonesia",-7.0103599,110.4399491
"Jl. Brigjend Sudiarto 21 Rt 01/V Pedurungan, Lamper Tengah, Semarang Tengah, Gayamsari, Semarang City, Central Java 50248, Indonesia",-7.000864,110.448553
"Jl. Pemuda No 04 Semarang (Kantor Pos Johar), Kauman, Central Semarang, Semarang City, Central Java 50139, Indonesia",-6.969874700000001,110.4243199
